Club,Date,Club Path,Face Angle,Face To Path,Club Speed,Attack Angle,Ball Speed,Spin Rate,Carry,Side,Smash Factor
SW_OTHER,"April 11, 2026",2.0,6.2,4.2,64.1,-1.6,59.4,8800,60.9,17.4R,0.93
SW_OTHER,"April 11, 2026",0.2,0.4,0.2,64.5,-2.4,63.4,8500,67.6,1.3R,0.98
SW_OTHER,"April 13, 2026",2.0,4.3,2.3,61.3,0.4,56.6,8362,56.6,11.4R,0.92
SW_OTHER,"June 13, 2026",-1.0,-0.7,0.3,38.6,-2.4,45.5,5509,38.7,1.6L,1.18
SW_OTHER,"June 13, 2026",-0.4,-2.4,-2.0,38.2,0.6,46.5,4302,41.4,4.8L,1.22
SW_OTHER,"June 13, 2026",0.2,-2.9,-3.1,48.3,-2.8,55.0,5751,54.9,7.5L,1.14
SW_OTHER,"June 13, 2026",1.8,-1.1,-2.9,37.7,1.6,42.9,3405,36.2,1.5L,1.14
SW_OTHER,"June 13, 2026",-1.4,-1.6,-0.2,43.9,-2.4,50.7,5763,46.5,3.9L,1.16
SW_OTHER,"June 13, 2026",0.4,0.9,0.5,35.8,-0.2,43.4,4664,36.4,1.6R,1.21
SW_OTHER,"June 13, 2026",-0.8,-1.0,-0.2,35.6,-2.0,41.7,4972,33.3,1.8L,1.17
SW_OTHER,"June 13, 2026",1.6,-1.3,-2.9,36.5,-2.0,45.3,4166,39.4,1.8L,1.24
SW_OTHER,"June 13, 2026",-1.2,-4.9,-3.7,37.1,-2.8,44.3,4979,36.9,8.1L,1.2
SW_OTHER,"June 13, 2026",-4.1,-4.2,-0.1,37.9,-2.1,44.1,4358,33.2,7.4L,1.16
SW_OTHER,"June 13, 2026",-5.6,-4.7,0.9,40.2,0.2,52.2,3565,39.1,9.8L,1.3
SW_OTHER,"June 14, 2026",1.8,0.1,-1.7,62.7,-3.2,62.4,8691,66.0,1.0R,1.0
SW_OTHER,"June 14, 2026",0.4,0.7,0.3,63.1,-1.6,64.6,9133,69.4,2.4R,1.02
SW_OTHER,"June 14, 2026",1.0,-2.6,-3.6,60.5,-2.6,60.7,8357,63.3,6.9L,1.0
SW_OTHER,"June 14, 2026",1.6,-2.1,-3.7,57.3,-3.0,57.9,8616,58.6,4.2L,1.01
