PW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: June 15, 2026"
9,,,,5.1,-1.3,-6.4,62.6,-5.7,64.9,8902,70.1,2.4L,1.04,
10,,,,4.4,1.2,-3.2,62.4,-3,63.1,9139,66.9,5.7R,1.01,
11,,,,7.9,-2.3,-10.2,61.3,-9.7,67.6,8578,74.6,7.4L,1.1,
12,,,,4.6,-2.4,-7,61.8,-3.2,66.1,8756,72,6.9L,1.07,
13,,,,4.8,-2.8,-7.6,62.3,-2.8,67.1,8895,73.7,8.7L,1.08,
14,,,,3.8,-0.9,-4.7,62.1,-3.4,65.3,9041,70.6,1.4L,1.05,
15,,,,4.8,2.1,-2.7,66.5,-2.6,69.4,9818,77,9.5R,1.04,
16,,,,5.4,2.2,-3.2,62.2,-2,64.8,8926,69.9,9.4R,1.04,
,,,,,,,,,,,,,,
LW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: August 25, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,-,-,-,39.8,-,40,5602,30.4,1.5R,1,
2,,,,4.6,-0.1,-4.7,50.7,-4,44.1,5282,37.8,1.7R,0.87,
3,,,,6.4,-3.6,-10,41.4,-3.8,41.9,6593,32.8,1.1L,1.01,
4,,,,6.4,-2.4,-8.8,51.2,-4,49.4,8274,44.9,0.1R,0.96,
5,,,,3.4,0.2,-3.2,42.1,-5.2,40.5,6669,30.4,2.0R,0.96,
6,,,,5.8,-0.9,-6.7,41.8,0,43.6,5925,36.5,1.5R,1.04,
7,,,,5.5,-0.6,-6.1,63,-3.9,56.7,3727,57.3,1.9L,0.9,
8,,,,6.2,-3.8,-10,61.9,-4,60.7,7912,63.4,8.8L,0.98,
9,,,,5,-1.2,-6.2,39,0.4,40.9,4997,32.8,0.4R,1.05,
10,,,,3.8,0.4,-3.4,57.3,-2.6,50.5,5629,47.2,2.3R,0.88,
11,,,,1.8,-1,-2.8,41.6,-3,41.5,6635,32.8,0.1L,1,
12,,,,5.6,-1.6,-7.2,41.2,-2.4,40.3,6262,31.4,1.0R,0.98,
13,,,,3.6,0.7,-2.9,57.4,-3,52.4,6575,50.1,3.0R,0.91,
14,,,,4.4,-0.8,-5.2,50.2,-4,45.1,8134,37.9,1.8R,0.9,
15,,,,4.6,1,-3.6,58.9,-3.8,53.5,7657,51.8,4.7R,0.91,
16,,,,4,0,-4,58.6,-3.4,52.6,6101,50.1,1.6R,0.9,
17,,,,4.8,-0.5,-5.3,58.1,-2.8,51.3,6252,48.3,1.1R,0.88,
18,,,,5.8,-2.1,-7.9,66.3,-0.8,61.3,4273,63,7.8L,0.93,
19,,,,0.4,-2.3,-2.7,43.7,-6.6,44.3,6886,33.6,2.7L,1.01,
20,,,,5.8,-0.6,-6.4,50.7,-4.2,44.9,6024,38.8,1.6R,0.89,
21,,,,3.2,2.5,-0.7,41.5,-4.4,40,6839,30.5,4.4R,0.97,
22,,,,5.4,0.9,-4.5,51.9,-2,47.4,7692,42.3,5.0R,0.91,
23,,,,5,-1.3,-6.3,55.1,-4,48.1,5352,43.9,0.9L,0.87,
24,,,,3,0.1,-2.9,52.7,-4.6,45.7,7992,39,2.1R,0.87,
25,,,,4.6,1,-3.6,58.8,-3.2,48.6,4501,44.2,3.3R,0.83,
26,,,,4.2,-2.8,-7,41,-4.6,39.6,6758,29.5,0.7L,0.97,
27,,,,2,-1.9,-3.9,40.1,-3,39.3,6338,30,1.0L,0.98,
28,,,,2.8,0.5,-2.3,49,-3.2,44.3,4441,38,1.8R,0.9,
29,,,,5.3,-1,-6.3,62.9,-4.7,55,4125,55.2,2.6L,0.87,
30,,,,4.7,-3.3,-8,42.3,-0.9,39.5,4071,31.2,2.9L,0.93,
31,,,,4,-0.2,-4.2,56.3,-3.6,50.1,3299,46.7,0.0R,0.89,
32,,,,3.8,-0.5,-4.3,40.2,-6.6,42.8,6061,30.6,1.0R,1.06,
33,,,,5.2,-0.4,-5.6,62.4,-3.4,55.9,3875,55.7,1.1L,0.9,
34,,,,4,1,-3,55.8,-3.4,48.7,3371,44.4,2.8R,0.87,
35,,,,5.4,-2.5,-7.9,57.9,-1.8,56.5,9089,56.4,2.1L,0.98,
36,,,,3.7,-1.9,-5.6,43.7,-1.5,42.9,6596,35.1,0.5L,0.98,
37,,,,6.4,-1.8,-8.2,59.1,-3.8,55,5491,54.2,3.1L,0.93,
38,,,,4.8,-1.5,-6.3,58.9,-3.6,55.5,7289,54.9,1.5L,0.94,
39,,,,5.6,-0.3,-5.9,62.9,-2.6,60.9,9753,63.2,2.8R,0.97,
40,,,,4.2,-0.4,-4.6,49.5,-5,45.4,7639,38,2.0R,0.92,
41,,,,7.6,-2.8,-10.4,57.1,-3.8,53.8,4933,52.9,5.8L,0.94,
42,,,,1.6,0.5,-1.1,43.2,-3.6,40.7,4818,32.8,1.3R,0.94,
43,,,,3.8,-0.6,-4.4,39.2,-6.6,42.2,5924,29.6,0.9R,1.08,
44,,,,3,-2,-5,41.2,-5.2,39.4,6601,28.5,0.5L,0.95,
45,,,,5.8,0.3,-5.5,39.7,-3.2,38.4,6508,28.5,3.3R,0.97,
46,,,,6.2,-1.3,-7.5,61.3,-5.6,53.9,4454,53.1,2.6L,0.88,
47,,,,6.2,-4.3,-10.5,66.3,-2.6,64.2,6821,68,13.9L,0.97,
48,,,,2.8,1.3,-1.5,42.4,-2.8,43,6906,35.4,3.2R,1.01,
49,,,,2.4,-0.9,-3.3,45.1,-2.4,41.9,7186,33.6,0.4R,0.93,
50,,,,7.2,-3.8,-11,59.5,-3.6,60.2,8219,62.5,7.8L,1.01,
51,,,,8.1,-4.3,-12.4,38,-2.9,39.5,5971,28.7,0.8L,1.04,
52,,,,5.3,-0.6,-5.9,61.8,-3.9,56.3,5585,56.4,0.5L,0.91,
53,,,,3.8,-0.7,-4.5,45.3,-5,44,7054,35.4,1.2R,0.97,
54,,,,3.8,-0.3,-4.1,52.4,-0.8,46.9,7631,41.4,2.0R,0.9,
55,,,,3.2,-0.8,-4,44.6,-4.6,40.7,7084,31,0.9R,0.91,
56,,,,3.8,-1.8,-5.6,39.9,-4.6,38.8,6571,28.4,0.1R,0.97,
57,,,,3.8,-1.3,-5.1,45.5,-1.8,44.1,6823,36.9,0.3R,0.97,
58,,,,6.4,-1.6,-8,63,-5,56.1,4221,56.7,4.5L,0.89,
59,,,,5.1,1.3,-3.8,42.2,-4.7,39.2,6925,28.7,4.0R,0.93,
60,,,,5.2,0.1,-5.1,52.1,-3.4,45,5025,39,2.0R,0.86,
61,,,,4.6,-1.1,-5.7,50.1,-2,44.9,5597,39,0.2R,0.9,
62,,,,7.2,-2.6,-9.8,67,-3.4,62.6,4304,65.7,10.3L,0.93,
63,,,,4.6,-2.7,-7.3,51.4,-2.4,48.6,7971,43.9,1.4L,0.95,
64,,,,6.4,-2,-8.4,62.5,-2.2,58.4,4475,59.9,6.1L,0.93,
65,,,,3.2,-1.2,-4.4,41.7,-1.6,40.6,6248,32.1,0.3R,0.97,
66,,,,3.2,-3.4,-6.6,41.1,-6,38.2,6702,26.6,1.6L,0.93,
,,,,,,,,,,,,,,
GW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: August 25, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,5.4,-0.5,-5.9,68.8,-2.2,79.1,8311,93.7,5.6L,1.15,
2,,,,4,-0.4,-4.4,68.9,-2,78,8706,91.7,3.6L,1.13,
3,,,,4.8,-0.3,-5.1,68.3,-1.2,78.4,8371,91.8,3.9L,1.15,
,,,,,,,,,,,,,,
7 IRON,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: August 25, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,4.6,1.7,-2.9,72.5,-1.2,102.6,4625,144.3,0.6L,1.41,
2,,,,5.6,2.7,-2.9,73.2,-2.2,102.7,4957,143.1,7.7R,1.4,
,,,,,,,,,,,,,,
8 IRON,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: August 25, 2025"
